agent_id,time_step,vertex_index
6,8,783
6,9,751
6,10,719
6,11,687
6,12,688
6,13,689
6,14,657
6,15,658
6,16,626
6,17,594
6,18,562
6,19,563
6,20,564
6,21,565
6,22,566
6,23,567
6,24,568
6,25,569
6,26,570
6,27,571
6,28,539
6,29,507
6,30,508
6,31,509
6,32,477
6,33,476
7,0,732
7,1,733
7,2,765
7,3,766
7,4,767
7,5,799
7,6,831
7,7,830
7,8,829
7,9,861
7,10,893
7,11,925
7,12,957
7,13,989
7,14,1021
7,15,1020
7,16,1019
7,17,1018
7,18,1017
7,19,1016
7,20,984
7,21,983
7,22,982
7,23,1014
7,24,1013
7,25,1012
7,26,980
7,27,948
7,28,947
7,29,915
7,30,914
7,31,913
7,32,912
7,33,911
7,34,910
7,35,909
7,36,941
7,37,973
7,38,972
7,39,971
7,40,1003
7,41,1002
7,42,1001
7,43,1000
7,44,999
7,45,998
7,46,997
7,47,965
7,48,933
7,49,901
7,50,900
7,51,868
7,52,867
7,53,835
7,54,834
7,55,802
7,56,770
7,57,769
7,58,737
7,59,705
7,60,673
7,61,672
7,62,640
7,63,641
7,64,609
7,65,610
7,66,578
7,67,546
7,68,545
7,69,513
7,70,514
7,71,482
7,72,450
7,73,418
7,74,386
7,75,354
7,76,322
7,77,321
7,78,320
7,79,288
7,80,256
7,81,224
7,82,225
7,83,193
7,84,161
7,85,129
7,86,97
7,87,98
7,88,66
7,89,67
7,90,68
7,91,69
7,92,70
7,93,38
7,94,39
7,95,40
7,96,8
7,97,9
7,98,10
7,99,11
7,100,43
7,101,75
7,102,107
7,103,139
7,104,171
8,0,953
8,1,921
8,2,889
8,3,857
8,4,825
8,5,824
8,6,792
8,7,760
8,8,728
8,9,727
8,10,695
8,11,694
8,12,662
8,13,661
8,14,629
8,15,597
8,16,565
8,17,533
8,18,501
8,19,469
8,20,468
8,21,436
8,22,435
8,23,403
8,24,371
8,25,339
8,26,307
8,27,306
8,28,274
8,29,242
9,0,172
9,1,204
9,2,205
9,3,237
9,4,238
9,5,239
9,6,240
9,7,241
9,8,273
9,9,305
9,10,306
9,11,338
9,12,370
9,13,402
9,14,434
9,15,466
9,16,498
10,0,157
10,1,156
10,2,124
10,3,123
10,4,122
10,5,121
10,6,120
10,7,88
10,8,56
10,9,24
10,10,23
10,11,22
10,12,21
10,13,20
11,0,667
11,1,666
11,2,665
11,3,664
11,4,663
11,5,662
11,6,630
11,7,598
11,8,597
11,9,596
11,10,595
11,11,563
11,12,531
11,13,499
11,14,498
11,15,497
11,16,496
11,17,464
11,18,432
11,19,400
11,20,399
11,21,367
11,22,366
11,23,334
11,24,302
11,25,301
11,26,269
11,27,237
11,28,236
11,29,204
11,30,172
11,31,171
11,32,139
11,33,107
11,34,75
11,35,74
11,36,73
11,37,41
11,38,40
11,39,39
11,40,38
11,41,37
11,42,36
11,43,35
11,44,34
11,45,33
11,46,32
12,0,850
12,1,851
12,2,883
12,3,884
12,4,885
12,5,886
12,6,887
12,7,855
12,8,856
13,0,588
13,1,589
13,2,590
13,3,558
13,4,559
13,5,527
13,6,528
13,7,496
13,8,497
13,9,465
13,10,466
13,11,434
13,12,402
13,13,370
13,14,338
13,15,306
13,16,274
13,17,242
13,18,210
13,19,178
13,20,146
13,21,114
13,22,113
14,0,461
14,1,462
14,2,430
14,3,431
14,4,432
14,5,433
14,6,434
14,7,435
14,8,436
14,9,404
14,10,405
14,11,373
15,0,333
15,1,334
15,2,366
15,3,398
15,4,399
15,5,400
15,6,401
15,7,402
15,8,403
15,9,404
15,10,405
15,11,373
15,12,374
15,13,375
15,14,376
15,15,377
16,0,218
16,1,186
16,2,187
16,3,188
16,4,189
16,5,221
16,6,253
16,7,285
16,8,317
16,9,349
16,10,381
16,11,413
16,12,445
16,13,477
16,14,509
16,15,541
16,16,573
16,17,605
16,18,604
17,0,330
17,1,331
17,2,363
17,3,364
17,4,396
17,5,428
17,6,460
17,7,492
17,8,524
17,9,556
17,10,588
17,11,620
17,12,652
17,13,684
17,14,716
17,15,748
17,16,780
17,17,812
17,18,844
17,19,876
17,20,908
18,0,308
18,1,276
18,2,244
18,3,243
18,4,211
18,5,179
18,6,178
18,7,146
18,8,145
18,9,113
18,10,112
18,11,80
18,12,48
18,13,16
18,14,15
18,15,14
18,16,13
18,17,12
18,18,11
18,19,10
18,20,9
18,21,41
18,22,73
18,23,105
18,24,137
18,25,136
18,26,135
18,27,134
18,28,133
18,29,132
18,30,164
18,31,163
18,32,162
18,33,194
18,34,226
18,35,225
18,36,257
18,37,289
18,38,321
18,39,353
18,40,354
18,41,386
18,42,418
18,43,417
18,44,449
18,45,481
18,46,513
18,47,545
18,48,546
18,49,578
18,50,610
18,51,609
18,52,641
18,53,673
18,54,705
18,55,737
18,56,769
18,57,801
18,58,800
19,0,429
19,1,461
19,2,493
19,3,525
19,4,557
19,5,589
19,6,621
19,7,653
19,8,685
19,9,717
19,10,749
19,11,781
19,12,813
19,13,845
19,14,877
19,15,909
20,0,551
20,1,583
20,2,615
20,3,616
20,4,648
20,5,680
20,6,681
20,7,713
20,8,714
20,9,746
20,10,778
20,11,810
20,12,811
20,13,843
20,14,875
20,15,876
20,16,877
20,17,909
20,18,941
20,19,973
20,20,1005
21,0,309
21,1,308
21,2,340
21,3,341
21,4,373
21,5,405
21,6,406
21,7,438
21,8,439
21,9,471
21,10,503
21,11,535
21,12,567
22,0,578
22,1,546
22,2,545
22,3,513
22,4,481
22,5,449
22,6,417
22,7,385
22,8,353
22,9,321
22,10,320
22,11,288
22,12,256
22,13,224
22,14,225
22,15,193
22,16,161
22,17,162
22,18,130
22,19,131
22,20,132
22,21,133
22,22,134
22,23,135
22,24,136
22,25,104
22,26,105
22,27,73
22,28,74
23,0,777
23,1,809
23,2,810
23,3,842
23,4,843
23,5,875
23,6,907
23,7,939
23,8,940
23,9,972
23,10,973
23,11,974
23,12,1006
23,13,1007
23,14,1008
23,15,1009
23,16,1010
23,17,1011
23,18,1012
23,19,1013
23,20,1014
23,21,982
23,22,983
23,23,951
23,24,952
23,25,920
23,26,921
23,27,889
23,28,857
23,29,858
23,30,826
23,31,794
23,32,762
23,33,730
23,34,698
23,35,666
23,36,665
23,37,664
23,38,632
23,39,600
23,40,568
24,0,479
24,1,478
24,2,477
24,3,476
24,4,444
24,5,412
24,6,380
24,7,381
24,8,382
24,9,350
24,10,318
24,11,319
24,12,287
24,13,255
24,14,223
24,15,191
24,16,159
24,17,127
24,18,95
24,19,94
24,20,93
24,21,61
24,22,60
24,23,92
25,0,660
25,1,628
25,2,627
25,3,595
25,4,594
25,5,562
25,6,561
25,7,560
25,8,559
25,9,558
25,10,557
25,11,556
25,12,555
25,13,554
25,14,553
25,15,552
25,16,551
25,17,519
25,18,487
25,19,486
25,20,485
25,21,484
25,22,483
25,23,451
25,24,419
25,25,387
25,26,355
25,27,323
25,28,322
25,29,290
25,30,291
26,0,680
26,1,648
26,2,616
26,3,584
26,4,552
26,5,520
26,6,519
26,7,487
26,8,486
26,9,454
26,10,422
26,11,421
26,12,420
26,13,388
26,14,356
26,15,324
27,0,274
27,1,306
27,2,338
27,3,339
27,4,340
27,5,341
27,6,373
27,7,374
27,8,375
28,0,874
28,1,842
28,2,810
28,3,811
28,4,812
28,5,813
28,6,781
28,7,782
28,8,783
28,9,784
28,10,785
28,11,786
28,12,787
28,13,788
28,14,820
28,15,821
28,16,822
28,17,823
28,18,855
28,19,887
28,20,888
28,21,889
28,22,921
28,23,953
28,24,985
28,25,986
28,26,987
28,27,988
29,0,601
29,1,569
29,2,570
29,3,538
29,4,506
29,5,474
29,6,473
29,7,472
29,8,471
29,9,439
29,10,407
29,11,375
29,12,343
29,13,342
29,14,341
29,15,309
29,16,277
29,17,245
30,0,571
30,1,570
30,2,569
30,3,568
30,4,567
30,5,566
30,6,565
30,7,564
30,8,596
30,9,595
30,10,627
30,11,626
30,12,625
30,13,657
30,14,689
30,15,721
30,16,720
30,17,719
30,18,751
30,19,750
30,20,749
30,21,748
30,22,780
30,23,779
30,24,778
30,25,777
30,26,809
31,0,996
31,1,997
31,2,998
31,3,999
31,4,1000
31,5,1001
31,6,969
31,7,970
31,8,971
31,9,939
31,10,940
31,11,941
31,12,909
31,13,877
31,14,878
31,15,879
31,16,847
31,17,848
31,18,849
31,19,817
31,20,818
31,21,786
31,22,754
31,23,722
31,24,723
31,25,691
31,26,692
31,27,660
31,28,661
31,29,629
31,30,597
31,31,565
31,32,566
31,33,567
31,34,568
31,35,536
31,36,504
31,37,505
31,38,473
31,39,441
31,40,409
31,41,410
31,42,378
31,43,346
31,44,347
31,45,315
31,46,283
31,47,251
31,48,219
31,49,187
31,50,155
31,51,154
32,0,134
32,1,166
32,2,165
32,3,197
32,4,229
32,5,228
32,6,260
32,7,292
33,0,197
33,1,165
33,2,164
33,3,163
33,4,195
33,5,227
33,6,259
33,7,291
33,8,323
33,9,324
33,10,356
33,11,388
33,12,420
33,13,421
33,14,422
33,15,454
33,16,486
33,17,487
33,18,519
33,19,551
33,20,552
33,21,584
33,22,616
33,23,648
33,24,680
33,25,712
33,26,744
33,27,776
33,28,808
33,29,809
33,30,841
33,31,842
33,32,843
33,33,844
33,34,845
33,35,877
33,36,878
33,37,910
33,38,911
33,39,943
33,40,944
33,41,976
33,42,977
33,43,978
34,0,484
34,1,485
34,2,453
34,3,421
34,4,420
34,5,388
34,6,356
34,7,324
34,8,323
34,9,322
34,10,290
34,11,289
34,12,257
34,13,225
34,14,193
34,15,161
34,16,129
34,17,130
34,18,98
34,19,99
34,20,67
34,21,68
34,22,36
34,23,4
34,24,5
34,25,6
34,26,38
34,27,39
34,28,40
34,29,8
34,30,9
34,31,10
34,32,11
34,33,12
34,34,44
34,35,76
34,36,108
34,37,140
34,38,141
34,39,142
34,40,174
34,41,175
34,42,176
34,43,177
34,44,145
34,45,146
34,46,147
34,47,148
34,48,149
34,49,150
34,50,118
34,51,119
34,52,120
34,53,121
34,54,153
34,55,154
34,56,155
34,57,156
34,58,157
34,59,158
34,60,159
34,61,191
34,62,223
35,0,46
35,1,78
35,2,110
35,3,142
35,4,174
35,5,206
35,6,207
35,7,208
35,8,209
35,9,241
35,10,273
35,11,274
35,12,306
35,13,307
35,14,308
35,15,309
35,16,341
35,17,342
35,18,343
35,19,344
35,20,345
35,21,346
35,22,378
35,23,410
35,24,442
35,25,474
35,26,475
35,27,507
35,28,539
35,29,571
36,0,403
36,1,402
36,2,370
36,3,369
36,4,368
36,5,367
36,6,335
36,7,334
36,8,333
37,0,965
37,1,966
37,2,967
37,3,968
37,4,969
37,5,970
37,6,938
37,7,939
37,8,940
37,9,941
37,10,942
37,11,943
37,12,944
37,13,945
38,0,645
38,1,646
38,2,614
38,3,615
38,4,616
38,5,584
38,6,585
38,7,553
38,8,554
38,9,522
38,10,490
38,11,458
38,12,459
38,13,460
38,14,428
38,15,396
38,16,364
38,17,332
38,18,331
38,19,299
38,20,298
38,21,266
38,22,234
38,23,233
38,24,201
39,0,400
39,1,401
39,2,433
39,3,465
39,4,497
39,5,529
39,6,561
39,7,560
39,8,559
39,9,558
39,10,590
39,11,622
39,12,621
39,13,653
40,0,623
40,1,655
40,2,687
40,3,688
40,4,689
40,5,721
40,6,753
40,7,754
40,8,755
40,9,787
40,10,819
40,11,820
40,12,821
40,13,822
40,14,854
40,15,855
40,16,887
40,17,919
40,18,951
40,19,952
40,20,984
41,0,405
41,1,437
41,2,436
41,3,468
41,4,467
41,5,466
41,6,498
41,7,497
41,8,529
41,9,528
41,10,527
41,11,559
41,12,558
41,13,590
41,14,589
41,15,588
41,16,587
41,17,586
41,18,618
41,19,617
41,20,616
41,21,615
41,22,614
41,23,613
41,24,581
41,25,580
42,0,285
42,1,284
42,2,283
42,3,315
42,4,347
42,5,379
42,6,378
42,7,377
42,8,376
42,9,408
42,10,407
42,11,439
42,12,438
42,13,437
42,14,436
42,15,468
42,16,467
42,17,466
42,18,498
42,19,497
42,20,496
42,21,528
42,22,527
42,23,526
42,24,525
42,25,557
42,26,556
42,27,555
42,28,554
42,29,553
42,30,552
42,31,551
42,32,519
43,0,345
43,1,377
43,2,409
43,3,408
43,4,407
43,5,439
43,6,438
43,7,437
43,8,469
43,9,501
43,10,533
43,11,565
43,12,597
43,13,596
43,14,628
43,15,660
43,16,692
43,17,691
43,18,723
43,19,755
43,20,787
43,21,788
43,22,820
44,0,864
44,1,865
44,2,866
44,3,867
44,4,868
44,5,836
44,6,837
44,7,805
44,8,806
44,9,807
44,10,808
44,11,809
44,12,810
44,13,811
44,14,812
44,15,813
44,16,814
44,17,815
44,18,783
44,19,784
44,20,785
44,21,786
44,22,754
44,23,722
44,24,690
44,25,658
44,26,626
44,27,627
44,28,628
44,29,596
44,30,597
44,31,598
44,32,599
44,33,567
44,34,535
44,35,503
44,36,471
44,37,439
44,38,407
44,39,375
44,40,343
44,41,311
44,42,312
45,0,784
45,1,816
45,2,817
45,3,849
45,4,881
45,5,882
45,6,883
45,7,884
45,8,885
45,9,886
45,10,887
45,11,855
45,12,823
46,0,753
46,1,785
46,2,817
46,3,816
46,4,815
47,0,540
47,1,539
47,2,571
47,3,603
47,4,635
47,5,667
47,6,699
47,7,731
47,8,763
47,9,795
47,10,794
47,11,793
47,12,792
47,13,791
47,14,823
47,15,855
47,16,854
47,17,886
47,18,885
47,19,884
47,20,916
47,21,915
47,22,914
47,23,913
47,24,881
47,25,880
47,26,879
47,27,878
47,28,877
47,29,845
47,30,844
47,31,843
47,32,842
47,33,841
47,34,809
47,35,777
47,36,745
47,37,713
47,38,712
47,39,680
47,40,679
47,41,678
47,42,677
47,43,645
47,44,613
47,45,612
47,46,580
47,47,548
47,48,547
47,49,515
48,0,765
48,1,766
48,2,767
48,3,799
48,4,831
48,5,830
48,6,829
48,7,861
48,8,893
48,9,892
48,10,924
48,11,956
48,12,955
48,13,954
48,14,953
48,15,985
48,16,984
48,17,983
48,18,982
48,19,1014
48,20,1013
48,21,1012
48,22,1011
48,23,1010
48,24,1009
48,25,977
48,26,945
48,27,913
48,28,912
48,29,911
48,30,910
48,31,942
48,32,974
48,33,1006
48,34,1005
48,35,1004
48,36,1003
48,37,1002
48,38,970
48,39,938
48,40,906
48,41,905
48,42,904
48,43,903
48,44,902
48,45,901
48,46,869
48,47,837
48,48,805
48,49,804
48,50,772
48,51,740
48,52,739
48,53,707
48,54,675
48,55,674
48,56,673
48,57,672
48,58,640
48,59,608
48,60,609
48,61,610
48,62,578
48,63,579
48,64,547
48,65,515
48,66,514
48,67,482
48,68,481
48,69,480
48,70,448
48,71,449
48,72,450
48,73,418
48,74,386
48,75,354
48,76,353
48,77,352
48,78,320
48,79,288
48,80,256
48,81,224
48,82,225
48,83,193
48,84,194
48,85,195
49,0,568
49,1,569
49,2,570
49,3,571
49,4,603
49,5,604
49,6,605
49,7,606
49,8,638
49,9,670
49,10,669
49,11,668
49,12,700
49,13,699
49,14,731
49,15,730
50,0,665
50,1,664
50,2,632
50,3,600
50,4,568
50,5,536
50,6,535
50,7,503
50,8,502
50,9,501
50,10,469
50,11,437
50,12,405
50,13,373
50,14,374
50,15,342
50,16,310
50,17,278
50,18,277
50,19,276
50,20,244
50,21,243
50,22,242
50,23,241
50,24,240
50,25,239
50,26,238
50,27,237
50,28,236
50,29,204
50,30,203
50,31,171
50,32,139
50,33,138
50,34,106
51,0,138
51,1,139
51,2,140
51,3,141
51,4,142
51,5,174
51,6,175
51,7,176
51,8,208
51,9,240
51,10,241
51,11,273
51,12,305
51,13,306
51,14,307
51,15,308
51,16,309
51,17,341
51,18,342
51,19,343
52,0,498
52,1,499
52,2,467
52,3,468
52,4,469
52,5,470
52,6,471
52,7,472
52,8,473
52,9,474
52,10,475
52,11,476
52,12,477
52,13,478
52,14,479
53,0,570
53,1,569
53,2,601
53,3,600
53,4,599
53,5,631
53,6,630
53,7,662
53,8,661
53,9,660
53,10,659
53,11,691
53,12,690
53,13,722
53,14,721
53,15,753
53,16,752
53,17,751
53,18,783
53,19,782
53,20,781
53,21,749
54,0,689
54,1,721
54,2,753
54,3,754
54,4,786
54,5,787
54,6,819
54,7,851
54,8,883
54,9,915
54,10,947
54,11,979
54,12,1011
55,0,419
55,1,418
55,2,417
55,3,385
55,4,353
55,5,321
55,6,322
55,7,290
55,8,291
55,9,292
55,10,260
55,11,261
55,12,229
55,13,230
55,14,231
55,15,199
55,16,200
55,17,168
56,0,643
56,1,675
56,2,707
56,3,708
56,4,709
56,5,710
56,6,711
56,7,712
56,8,713
56,9,714
56,10,715
56,11,716
56,12,717
56,13,685
56,14,686
56,15,654
56,16,622
56,17,590
56,18,558
56,19,559
56,20,560
56,21,561
56,22,529
56,23,497
56,24,465
56,25,466
56,26,434
56,27,435
56,28,436
56,29,437
56,30,438
56,31,439
56,32,407
56,33,408
56,34,376
56,35,377
56,36,378
56,37,379
56,38,380
56,39,381
56,40,382
57,0,946
57,1,945
57,2,944
57,3,943
57,4,942
57,5,974
57,6,973
57,7,972
57,8,971
57,9,970
57,10,1002
57,11,1001
57,12,1000
57,13,999
57,14,998
57,15,997
57,16,965
57,17,933
57,18,932
57,19,931
57,20,963
57,21,962
57,22,994
57,23,993
57,24,992
57,25,960
57,26,928
57,27,896
57,28,864
57,29,832
57,30,800
57,31,768
57,32,736
57,33,737
57,34,738
57,35,706
57,36,707
57,37,675
57,38,643
57,39,642
57,40,610
57,41,578
57,42,546
57,43,514
57,44,482
57,45,450
57,46,418
57,47,386
57,48,354
57,49,353
57,50,352
57,51,320
57,52,288
57,53,256
57,54,224
57,55,225
57,56,226
57,57,194
57,58,195
57,59,163
57,60,164
57,61,165
57,62,133
57,63,134
57,64,135
57,65,136
57,66,137
58,0,625
58,1,624
58,2,592
58,3,560
58,4,559
58,5,527
58,6,526
58,7,525
58,8,524
58,9,523
58,10,491
58,11,490
58,12,458
58,13,426
58,14,394
58,15,362
58,16,361
58,17,329
58,18,328
58,19,327
58,20,295
58,21,263
58,22,231
58,23,199
58,24,167
58,25,166
58,26,165
58,27,164
58,28,163
58,29,195
58,30,194
59,0,116
59,1,148
59,2,149
59,3,181
59,4,213
59,5,245
59,6,277
59,7,309
60,0,727
60,1,695
60,2,696
60,3,697
60,4,698
60,5,699
60,6,731
60,7,763
60,8,795
60,9,827
60,10,826
60,11,858
60,12,890
60,13,922
61,0,100
61,1,132
61,2,131
61,3,130
61,4,129
61,5,161
61,6,193
61,7,225
61,8,257
61,9,256
61,10,288
61,11,289
61,12,321
61,13,322
61,14,354
61,15,386
61,16,418
61,17,450
61,18,482
61,19,514
61,20,546
61,21,578
61,22,610
61,23,609
61,24,641
61,25,673
61,26,705
61,27,706
61,28,738
61,29,770
61,30,771
61,31,803
61,32,804
61,33,836
61,34,837
61,35,869
61,36,901
61,37,902
61,38,903
61,39,935
61,40,936
61,41,968
61,42,1000
61,43,1001
61,44,1002
61,45,1003
61,46,1004
61,47,1005
61,48,1006
61,49,1007
61,50,1008
61,51,1009
61,52,1010
61,53,1011
61,54,1012
61,55,1013
61,56,1014
61,57,982
61,58,983
61,59,984
61,60,1016
61,61,1017
61,62,1018
61,63,1019
61,64,987
62,0,982
62,1,983
62,2,951
62,3,952
62,4,984
62,5,985
62,6,986
62,7,987
62,8,988
62,9,1020
63,0,454
63,1,486
63,2,487
63,3,519
63,4,551
63,5,583
63,6,584
63,7,616
63,8,648
63,9,680
63,10,712
63,11,744
63,12,776
63,13,777
63,14,778
63,15,779
63,16,780
63,17,781
63,18,782
63,19,783
63,20,784
63,21,785
63,22,786
63,23,787
63,24,788
64,0,769
64,1,770
64,2,738
64,3,706
64,4,674
64,5,642
64,6,610
64,7,578
64,8,579
64,9,580
64,10,581
64,11,549
64,12,550
64,13,518
64,14,486
64,15,454
64,16,422
65,0,410
65,1,378
65,2,377
65,3,345
65,4,313
65,5,281
65,6,249
65,7,217
65,8,185
65,9,184
65,10,183
65,11,151
65,12,119
65,13,87
66,0,33
66,1,65
66,2,97
66,3,98
66,4,130
66,5,162
66,6,194
66,7,193
66,8,225
66,9,257
66,10,289
66,11,321
66,12,322
66,13,354
66,14,355
66,15,356
66,16,388
66,17,420
66,18,421
66,19,453
66,20,485
66,21,517
66,22,549
66,23,581
66,24,613
66,25,614
66,26,646
66,27,647
66,28,648
66,29,649
66,30,681
66,31,682
66,32,683
67,0,95
67,1,127
67,2,159
67,3,191
67,4,190
67,5,222
67,6,254
67,7,253
67,8,285
67,9,317
67,10,349
67,11,381
67,12,413
67,13,445
67,14,477
67,15,478
67,16,510
67,17,542
67,18,574
67,19,575
67,20,607
67,21,639
68,0,149
68,1,117
68,2,118
68,3,86
68,4,87
68,5,88
68,6,89
69,0,301
69,1,269
69,2,237
69,3,236
69,4,204
69,5,172
69,6,140
69,7,108
69,8,107
69,9,106
69,10,105
69,11,104
69,12,103
69,13,102
69,14,70
69,15,69
69,16,68
69,17,67
69,18,66
69,19,65
70,0,108
70,1,107
70,2,106
70,3,105
70,4,104
70,5,103
70,6,102
70,7,101
70,8,100
70,9,132
70,10,131
70,11,163
70,12,195
70,13,227
70,14,228
71,0,497
71,1,529
71,2,561
71,3,562
71,4,594
71,5,595
71,6,627
71,7,659
71,8,691
71,9,692
71,10,693
71,11,725
71,12,757
71,13,758
71,14,790
71,15,822
71,16,823
71,17,824
71,18,825
71,19,826
71,20,827
71,21,828
72,0,904
72,1,905
72,2,906
72,3,907
72,4,908
72,5,940
72,6,941
72,7,973
72,8,974
72,9,1006
72,10,1007
72,11,1008
73,0,614
73,1,646
73,2,678
73,3,710
73,4,742
73,5,743
73,6,744
73,7,745
73,8,746
73,9,778
73,10,779
73,11,780
73,12,781
73,13,782
73,14,814
73,15,815
73,16,816
73,17,817
73,18,818
74,0,404
74,1,436
74,2,468
74,3,467
74,4,499
74,5,531
74,6,563
74,7,595
74,8,594
74,9,626
74,10,658
74,11,657
74,12,656
74,13,688
74,14,720
74,15,752
74,16,751
74,17,750
74,18,782
74,19,814
74,20,813
75,0,827
75,1,826
75,2,825
75,3,793
75,4,792
75,5,760
75,6,728
75,7,727
75,8,695
75,9,663
75,10,631
75,11,599
75,12,598
75,13,597
75,14,596
75,15,595
75,16,563
75,17,562
75,18,561
75,19,529
75,20,528
75,21,527
75,22,526
75,23,525
75,24,493
75,25,461
76,0,778
76,1,779
76,2,747
76,3,748
76,4,749
76,5,750
76,6,751
76,7,719
76,8,720
76,9,721
76,10,722
76,11,723
76,12,724
76,13,725
76,14,693
76,15,694
76,16,695
76,17,663
76,18,631
76,19,599
76,20,600
76,21,601
76,22,569
76,23,537
76,24,505
76,25,473
76,26,441
76,27,409
76,28,410
76,29,378
76,30,379
76,31,347
76,32,315
76,33,283
76,34,251
76,35,219
76,36,187
76,37,155
76,38,123
76,39,91
76,40,92
76,41,60
76,42,61
77,0,113
77,1,112
77,2,144
77,3,176
77,4,208
77,5,207
77,6,239
77,7,238
77,8,237
77,9,236
77,10,235
77,11,234
77,12,233
77,13,265
77,14,297
77,15,329
77,16,328
77,17,327
77,18,326
77,19,358
77,20,357
77,21,356
77,22,355
77,23,387
77,24,419
77,25,418
77,26,417
77,27,449
77,28,448
77,29,480
77,30,481
78,0,9
78,1,41
78,2,42
78,3,74
78,4,106
78,5,138
78,6,170
78,7,202
78,8,234
78,9,233
78,10,265
78,11,297
78,12,329
78,13,328
79,0,879
79,1,847
79,2,815
79,3,816
79,4,817
79,5,785
79,6,753
79,7,754
79,8,722
80,0,230
80,1,231
80,2,199
80,3,167
80,4,135
80,5,103
80,6,104
80,7,105
80,8,73
80,9,74
80,10,75
80,11,76
80,12,44
80,13,12
80,14,13
80,15,14
80,16,15
80,17,16
80,18,48
80,19,80
80,20,81
80,21,113
80,22,114
80,23,115
80,24,147
80,25,148
80,26,116
80,27,117
80,28,118
80,29,119
80,30,120
80,31,121
80,32,153
80,33,154
80,34,186
80,35,187
80,36,188
80,37,189
80,38,221
80,39,253
80,40,285
80,41,284
81,0,408
81,1,440
81,2,439
81,3,438
81,4,470
81,5,502
81,6,534
81,7,533
81,8,565
81,9,597
81,10,629
81,11,628
81,12,660
81,13,659
81,14,691
81,15,690
81,16,689
81,17,721
81,18,753
81,19,752
81,20,751
81,21,783
81,22,815
81,23,814
82,0,524
82,1,525
82,2,526
82,3,527
82,4,528
82,5,529
82,6,497
82,7,498
82,8,499
82,9,531
82,10,532
82,11,533
82,12,534
82,13,535
82,14,536
82,15,537
83,0,58
83,1,59
83,2,60
83,3,61
83,4,62
83,5,94
83,6,126
83,7,127
83,8,159
83,9,158
83,10,190
83,11,222
83,12,254
83,13,286
83,14,285
83,15,284
83,16,316
83,17,315
83,18,347
83,19,346
83,20,345
83,21,344
83,22,312
83,23,280
84,0,269
84,1,301
84,2,302
84,3,334
84,4,335
84,5,336
84,6,368
84,7,400
84,8,432
84,9,464
84,10,465
84,11,497
84,12,529
84,13,561
84,14,562
84,15,594
84,16,626
84,17,625
85,0,453
85,1,454
85,2,422
85,3,423
85,4,424
85,5,392
85,6,393
85,7,361
85,8,329
85,9,330
85,10,331
85,11,332
85,12,333
85,13,301
85,14,302
